City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-10-09 16:11:04,-33.0153,27.9116,65.37,67,13,23.87
68,Rocha,UY,2021-10-09 16:09:13,-34.4833,-54.3333,65.66,55,32,11.68
69,Beian,NO,2021-10-09 16:11:04,63.6559,9.5683,60.01,88,75,4.61
70,Vaini,TO,2021-10-09 16:11:04,-21.2,-175.2,69.96,94,75,4.61
71,Shache,CN,2021-10-09 16:11:04,38.4167,77.2406,51.42,25,23,9.22
72,Kattivakkam,IN,2021-10-09 16:11:05,13.2167,80.3167,86.09,75,98,12.33
73,Jamestown,US,2021-10-09 16:11:05,42.097,-79.2353,65.71,97,90,11.01
74,San Isidro,PE,2021-10-09 16:11:05,-12.1167,-77.05,62.26,85,90,1.99
75,Norman Wells,CA,2021-10-09 16:11:06,65.282,-126.8329,30.34,93,100,3.02
76,Nikolskoye,RU,2021-10-09 16:11:06,59.7035,30.7861,53.87,79,100,6.35
77,Nieuwpoort,BE,2021-10-09 16:11:06,51.1244,2.7735,64.22,77,6,6.91
78,Limon,CR,2021-10-09 16:11:06,10.0,-83.0333,82.29,83,75,3.44
79,Lakki Marwat,PK,2021-10-09 16:11:07,32.6079,70.9114,89.67,25,0,5.53
80,Nantucket,US,2021-10-09 16:08:08,41.2835,-70.0995,65.01,81,99,21.9
81,Puno,PE,2021-10-09 16:11:07,-15.8333,-70.0333,55.2,52,94,7.9
82,Beringovskiy,RU,2021-10-09 16:11:08,63.05,179.3167,30.16,91,100,7.61
83,San Luis,AR,2021-10-09 16:11:08,-33.295,-66.3356,67.89,38,75,7.83
84,Luderitz,NA,2021-10-09 16:11:08,-26.6481,15.1594,70.84,50,4,26.98
85,Grindavik,IS,2021-10-09 16:11:08,63.8424,-22.4338,46.9,87,90,13.8
86,Qaanaaq,GL,2021-10-09 16:11:09,77.484,-69.3632,25.32,94,100,11.39
87,Ewa Beach,US,2021-10-09 16:07:32,21.3156,-158.0072,76.98,69,20,11.01
88,Arraial Do Cabo,BR,2021-10-09 16:11:09,-22.9661,-42.0278,71.46,64,90,11.5
89,Leningradskiy,RU,2021-10-09 16:11:09,69.3833,178.4167,16.27,94,100,4.18
90,Victoria,HK,2021-10-09 16:08:26,22.2855,114.1577,80.58,94,100,8.99
91,Avarua,CK,2021-10-09 16:11:10,-21.2078,-159.775,66.25,94,98,1.14
92,Chokurdakh,RU,2021-10-09 16:08:58,70.6333,147.9167,0.68,100,98,4.59
93,Kungurtug,RU,2021-10-09 16:11:10,50.5994,97.5228,24.48,83,16,2.62
94,Severo-Kurilsk,RU,2021-10-09 16:11:10,50.6789,156.125,43.3,80,39,10.83
95,Souillac,MU,2021-10-09 16:11:11,-20.5167,57.5167,72.36,78,33,17.18
96,Kavieng,PG,2021-10-09 16:09:55,-2.5744,150.7967,80.94,80,99,8.43
97,Itarema,BR,2021-10-09 16:11:11,-2.9248,-39.9167,88.45,58,51,19.6
98,Hirara,JP,2021-10-09 16:11:11,24.8,125.2833,82.65,80,17,22.46
99,Hampton,US,2021-10-09 16:11:12,37.0299,-76.3452,75.4,88,75,16.11
100,Salta,AR,2021-10-09 16:10:34,-24.7859,-65.4117,70.39,53,75,1.99
101,Puerto Ayora,EC,2021-10-09 16:08:38,-0.7393,-90.3518,76.96,81,98,11.7
102,Avera,US,2021-10-09 16:11:12,33.194,-82.5271,75.7,78,43,12.26
103,Sambava,MG,2021-10-09 16:11:12,-14.2667,50.1667,74.8,70,21,15.35
104,Gazalkent,UZ,2021-10-09 16:11:12,41.5581,69.7708,44.96,95,100,5.59
105,Port Alfred,ZA,2021-10-09 16:11:13,-33.5906,26.891,64.31,71,1,21.83
106,Puerto Escondido,MX,2021-10-09 16:11:13,15.85,-97.0667,85.69,59,99,2.48
107,Olafsvik,IS,2021-10-09 16:11:13,64.8945,-23.7142,42.71,85,90,22.26
108,Assiniboia,CA,2021-10-09 16:10:54,49.6334,-105.9845,54.81,53,79,7.96
109,Vestmannaeyjar,IS,2021-10-09 16:11:14,63.4427,-20.2734,49.19,87,40,12.66
110,Santa Cruz Del Norte,CU,2021-10-09 16:09:19,23.1539,-81.9236,84.94,66,100,5.08
111,Salalah,OM,2021-10-09 16:11:14,17.0151,54.0924,82.49,83,20,6.91
112,Sinop,TR,2021-10-09 16:11:15,41.7711,34.8709,59.43,96,82,4.59
113,Uruzgan,AF,2021-10-09 16:11:15,32.8333,66.0,60.8,25,0,1.59
114,Port Elizabeth,ZA,2021-10-09 16:11:15,-33.918,25.5701,66.09,65,0,16.53
