City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Cabo San Lucas,MX,82.71,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
269,Nhulunbuy,AU,79.41,few clouds,-12.2333,136.7667,East Arnhem Real Estate
272,Kui Buri,TH,79.7,light rain,12.0828,99.8543,Rista House & Resort
278,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
279,Balabac,PH,82.53,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
281,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
286,Sur,OM,86.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
293,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
294,Sholapur,IN,84.0,few clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
295,Calabozo,VE,77.86,light rain,8.9242,-67.4293,Hotel Giardini
299,Nushki,PK,75.38,clear sky,29.5542,66.0215,Shams hotel
304,Dwarka,IN,85.3,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
307,Huicheng,CN,80.55,light rain,23.0385,116.2899,Huilai Hotel
309,Faanui,PF,80.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Tomigusuku,JP,81.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
318,Port-Gentil,GA,85.96,broken clouds,-0.7193,8.7815,Fengshui Residence
320,Akyab,MM,83.01,moderate rain,20.15,92.9,Hotel Memory
325,Emerald,AU,77.14,light rain,-23.5333,148.1667,The Irish Village
328,Songea,TZ,76.12,light rain,-10.6833,35.65,mtakuja
330,Pangkalanbuun,ID,80.46,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
331,Jalu,LY,87.4,few clouds,29.0331,21.5482,صاحبة الفخامة
334,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
338,Bambanglipuro,ID,76.69,scattered clouds,-7.95,110.2833,Puri Brata
342,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
345,Bintulu,MY,82.81,few clouds,3.1667,113.0333,900 Boutique INN
346,Dickinson,US,82.49,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
348,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
363,Altamira,BR,84.29,scattered clouds,-3.2033,-52.2064,Requinte Hotel
365,Zemio,CF,80.71,overcast clouds,5.0314,25.1361,OCHA Office
366,Sao Filipe,CV,81.18,clear sky,14.8961,-24.4956,Hotel Xaguate
367,Kalmunai,LK,86.02,light rain,7.4167,81.8167,VS Villa
375,Chabahar,IR,83.35,clear sky,25.2919,60.643,هتل گدروشیا
378,Pasighat,IN,80.33,clear sky,28.0667,95.3333,Siang Guest House
383,Ambulu,ID,75.94,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
385,Gizo,SB,82.29,broken clouds,-8.103,156.8419,Imagination Island
386,Barcelos,PT,78.48,clear sky,41.5388,-8.6151,Hotel Do Terço
387,Chateaubelair,VC,79.41,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
394,Kandrian,PG,78.12,few clouds,-6.2167,149.55,Kandrian Station
397,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
404,Wanning,CN,75.36,light rain,18.8003,110.3967,Paradise Hotel
405,Ambajogai,IN,79.45,clear sky,18.7333,76.3833,Hotel Krushnai
408,Baracoa,CU,80.65,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
411,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
412,Biak,ID,78.1,broken clouds,-0.9131,122.8766,Penginapan Kim
413,Kendari,ID,77.61,few clouds,-3.945,122.4989,Hotel Wixel
417,Maningrida,AU,80.42,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
418,Kathu,TH,82.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
419,Tambura,SS,82.35,light rain,5.6,27.4667,Rikito Lodge
421,Daru,PG,79.02,broken clouds,-9.0763,143.2092,Daru Lodge
424,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
429,Trairi,BR,86.23,broken clouds,-3.2778,-39.2689,janelas do mar
431,Zhuhai,CN,77.97,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
433,Mogadishu,SO,84.07,light rain,2.0371,45.3438,Hotel Juba
436,Tautira,PF,77.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
440,Leuwiliang,ID,85.57,overcast clouds,-6.5745,106.6344,KOMPLEK PWI JAYA
446,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
449,Katghora,IN,77.49,broken clouds,22.5,82.55,Deppak bhojanalay new bus stand
450,Itamaraca,BR,83.08,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
453,Petatlan,MX,76.8,broken clouds,17.5167,-101.2667,Hotel California Petatlán
454,Kudahuvadhoo,MV,83.35,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
456,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
461,Sibu,MY,84.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
463,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
467,Harper,LR,79.86,light rain,4.375,-7.7169,Screensaver
471,Sorong,ID,82.29,broken clouds,-0.8833,131.25,waigo splash hotel
475,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
476,Whithorn,JM,78.44,clear sky,18.2604,-78.0378,Sunset Heal
478,Buala,SB,80.31,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
479,San Miguel,SV,76.66,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
480,Fez,MA,86.25,few clouds,34.0372,-4.9998,Hotel Mounia Fès
487,Bosaso,SO,87.78,clear sky,11.2842,49.1816,Red Sea Hotel
488,Mahina,PF,76.77,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
493,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
495,Marsa Matruh,EG,80.6,clear sky,31.3525,27.2453,Beau Site
496,Fuerte Olimpo,PY,82.35,clear sky,-21.0415,-57.8738,Hospedaje DAMI
505,Kongolo,CD,81.91,overcast clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
507,Muroto,JP,76.69,scattered clouds,33.2833,134.15,Oota Ryokan
516,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
523,Axim,GH,83.05,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
528,Trinidad,BO,76.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
530,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
534,Abuyog,PH,78.26,overcast clouds,10.6667,125.05,NashBliss Apartelle
536,Kamina,CD,89.17,overcast clouds,-8.7386,24.9906,Guest House Florvia
537,Sola,VU,79.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
538,Palamos,ES,76.78,scattered clouds,41.8484,3.1291,Hotel Rosamar
539,Jieshi,CN,78.94,light rain,22.8134,115.8257,Yuehai Hotel
540,Thohoyandou,ZA,86.2,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
542,Bull Savanna,JM,75.79,clear sky,17.8868,-77.5902,Big Red's
545,Sao Jose Da Coroa Grande,BR,81.14,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
549,Bandarbeyla,SO,85.46,overcast clouds,9.4942,50.8122,JABIR HOTEL
551,Lira,UG,77.04,moderate rain,2.235,32.9097,ST Lira Hotel Limited
553,Booue,GA,85.35,light rain,-0.0921,11.9385,Splendeur de l'équateur
556,Kinablangan,PH,81.48,overcast clouds,7.6947,126.5503,Danny Moreno Property
561,Rockport,US,83.05,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
562,Mayumba,GA,79.99,overcast clouds,-3.432,10.6554,LIKWALE LODGE
563,Upata,VE,77.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
564,Lazaro Cardenas,MX,75.87,broken clouds,17.9583,-102.2,quinta antigua
565,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
566,Kimbe,PG,78.82,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
577,Labuhan,ID,84.22,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
583,Angoche,MZ,78.21,broken clouds,-16.2325,39.9086,Guest House HESADA
589,Savannah Bight,HN,82.0,few clouds,16.45,-85.85,Villa on Dunbar Rock
590,Kathmandu,NP,75.42,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
591,Pringsewu,ID,77.16,broken clouds,-5.3582,104.9744,Urban Style by Front One
593,Chatrapur,IN,82.83,broken clouds,19.35,84.9833,Circuit House
594,Keningau,MY,81.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
595,Gbadolite,CD,85.59,overcast clouds,4.2833,21.0167,Zenic
596,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
597,Katangi,IN,88.86,clear sky,23.45,79.7833,कपिल
602,Harsud,IN,83.7,clear sky,22.1,76.7333,Tortoise Tapu (Anay)
607,Tabou,CI,80.37,light rain,4.423,-7.3528,hotêl doufoulougou
611,Fasa,IR,87.04,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
612,Omboue,GA,83.64,light rain,-1.5746,9.2618,Hotel Olako
616,Desterro,BR,81.39,scattered clouds,-7.2906,-37.0939,HOTEL ENTRE RIOS
618,Barra Do Garcas,BR,79.38,broken clouds,-15.89,-52.2567,Hotel Pousada Tropical
619,Dhidhdhoo,MV,82.72,overcast clouds,6.8833,73.1,Dhidhoo beach
623,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
624,Manicore,BR,80.4,overcast clouds,-5.8092,-61.3003,Hotel Durval
625,Naze,JP,77.4,light rain,28.3667,129.4833,オーベルジュ・アガルイ
629,Kovvur,IN,84.45,mist,17.0167,81.7333,Hotel Rathna Palace
632,Alta Floresta,BR,75.69,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
636,Catuday,PH,80.17,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
637,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
639,Gonzales,US,75.97,clear sky,30.2385,-90.9201,Hampton Inn Gonzales
640,Mpika,ZM,76.08,overcast clouds,-11.8343,31.4529,Melodies Lodge
642,Poso,ID,80.28,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
645,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
649,Fomboni,KM,79.23,broken clouds,-12.28,43.7425,Auberge les abou
651,La Asuncion,VE,81.68,few clouds,11.0333,-63.8628,Colinas de Matasiete
656,Keti Bandar,PK,86.65,clear sky,24.1447,67.4497,Haji laloo memon house
657,Brufut,GM,87.89,broken clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
658,Tura,IN,77.22,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
660,Erzin,TR,86.52,clear sky,36.9559,36.2,Artemis Otel
662,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
663,Kieta,PG,78.96,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
667,Todos Santos,MX,82.2,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
677,Ixtapa,MX,78.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
683,Honiara,SB,78.13,overcast clouds,-9.4333,159.95,Heritage Park Hotel
684,Auki,SB,76.89,overcast clouds,-8.7676,160.7034,Auki Motel
685,Gulbarga,IN,82.42,clear sky,17.3333,76.8333,Kamat Hotel
686,Labrea,BR,83.12,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
690,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
691,Waingapu,ID,80.62,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
692,Kerema,PG,78.33,broken clouds,-7.9631,145.7785,Frena Lodge
694,Moroni,KM,82.4,light rain,-11.7022,43.2551,Hotel les Arcades
696,Camopi,GF,82.22,broken clouds,3.1655,-52.3158,La pousada
701,Singaraja,ID,77.97,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
702,Port Blair,IN,81.0,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
707,Salinopolis,BR,84.51,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
708,Palmas De Monte Alto,BR,86.97,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
